0.000331	-0.020020	0.004527	0.000000	0.000000	0.000000	0.064232	-0.058205	0.026668	0.020229	0.126086	-0.089793	0.105525	-0.037884	-0.418120	-0.121927	0.219018	-0.069677	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000293	-0.019999	0.004305	-0.003835	0.002012	-0.022121	0.064104	-0.058140	0.026774	0.020070	0.126354	-0.089605	0.105533	-0.037907	-0.417661	-0.122127	0.219144	-0.069546	-0.012741	0.006493	0.010594	-0.015917	0.026721	0.018815	0.000803	-0.002321	0.045902	-0.020001	0.012566	0.013160
0.000254	-0.019981	0.004083	-0.003858	0.001854	-0.022226	0.063986	-0.058066	0.026857	0.019926	0.126616	-0.089429	0.105546	-0.037935	-0.417231	-0.122317	0.219274	-0.069423	-0.011851	0.007435	0.008290	-0.014416	0.026197	0.017575	0.001292	-0.002862	0.042935	-0.018902	0.013090	0.012270
0.000216	-0.019964	0.003861	-0.003863	0.001683	-0.022224	0.063876	-0.057981	0.026915	0.019796	0.126873	-0.089265	0.105564	-0.037970	-0.416837	-0.122495	0.219414	-0.069309	-0.010996	0.008447	0.005829	-0.012968	0.025761	0.016336	0.001798	-0.003438	0.039444	-0.017890	0.013963	0.011380
0.000177	-0.019949	0.003639	-0.003872	0.001484	-0.022247	0.063774	-0.057887	0.026951	0.019681	0.127126	-0.089115	0.105586	-0.038009	-0.416470	-0.122663	0.219561	-0.069204	-0.010158	0.009372	0.003578	-0.011449	0.025255	0.015080	0.002234	-0.003962	0.036652	-0.016773	0.014661	0.010489
0.000138	-0.019936	0.003416	-0.003882	0.001343	-0.022281	0.063681	-0.057785	0.026963	0.019582	0.127373	-0.088976	0.105613	-0.038054	-0.416137	-0.122819	0.219713	-0.069108	-0.009320	0.010280	0.001257	-0.009983	0.024749	0.013823	0.002653	-0.004433	0.033336	-0.015568	0.015184	0.009582
0.000100	-0.019924	0.003193	-0.003878	0.001128	-0.022230	0.063596	-0.057673	0.026955	0.019497	0.127615	-0.088851	0.105643	-0.038104	-0.415833	-0.122962	0.219868	-0.069022	-0.008517	0.011170	-0.000855	-0.008447	0.024155	0.012566	0.003054	-0.004992	0.030369	-0.014364	0.015533	0.008604
0.000061	-0.019915	0.002971	-0.003880	0.000925	-0.022206	0.063518	-0.057553	0.026928	0.019428	0.127850	-0.088738	0.105677	-0.038158	-0.415561	-0.123092	0.220028	-0.068947	-0.007749	0.011990	-0.002670	-0.006859	0.023510	0.011275	0.003334	-0.005463	0.027227	-0.012985	0.016057	0.007575
0.000022	-0.019908	0.002751	-0.003847	0.000731	-0.021995	0.063447	-0.057426	0.026887	0.019376	0.128077	-0.088638	0.105712	-0.038218	-0.415320	-0.123207	0.220187	-0.068882	-0.007103	0.012706	-0.004154	-0.005219	0.022724	0.010018	0.003491	-0.005952	0.024086	-0.011449	0.015882	0.006458
-0.000016	-0.019903	0.002534	-0.003810	0.000534	-0.021752	0.063383	-0.057293	0.026832	0.019340	0.128296	-0.088550	0.105747	-0.038281	-0.415106	-0.123304	0.220343	-0.068829	-0.006405	0.013334	-0.005428	-0.003595	0.021869	0.008744	0.003560	-0.006353	0.021468	-0.009687	0.015533	0.005288
