-0.021485	0.128404	0.123605	0.983754	0.000000	0.000000	0.000000	-0.094327	0.399309	-0.231812	0.186542	-0.020447	-0.007889	-0.065085	-0.610642	-0.128646	0.652582	0.003410	0.032060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.022201	0.127334	0.128359	0.983269	-0.045119	-0.190520	0.958797	-0.074256	0.366644	-0.207703	0.276293	-0.025484	-0.000704	-0.058390	-0.597907	-0.129063	0.564119	0.009034	0.031845	2.007149	-3.266461	2.410960	8.975039	-0.503706	0.718496	0.669563	1.273559	-0.041661	-8.846239	0.562411	-0.021546
-0.022613	0.127008	0.131055	0.982946	-0.019821	-0.051269	0.545235	-0.054370	0.333721	-0.184653	0.370917	-0.030442	0.006269	-0.051468	-0.584805	-0.129559	0.479623	0.014541	0.031740	1.988531	-3.292320	2.304942	9.462382	-0.495763	0.697334	0.692166	1.310121	-0.049622	-8.449669	0.550704	-0.010492
-0.022785	0.127443	0.132118	0.982743	0.005398	0.092702	0.218211	-0.035171	0.300945	-0.163545	0.470084	-0.035201	0.012854	-0.044406	-0.571474	-0.130046	0.401920	0.019809	0.031768	1.919887	-3.277647	2.110858	9.916731	-0.475916	0.658535	0.706208	1.333103	-0.048716	-7.770203	0.526759	0.002791
-0.022671	0.128449	0.131264	0.982729	0.027417	0.197167	-0.168006	-0.017322	0.268384	-0.145055	0.573307	-0.039684	0.018927	-0.037507	-0.558387	-0.130701	0.333521	0.024738	0.031946	1.784931	-3.256014	1.848997	10.322279	-0.448282	0.607235	0.689916	1.308724	-0.065452	-6.839997	0.492881	0.017847
-0.022356	0.129295	0.129126	0.982909	0.028654	0.158633	-0.429422	-0.001615	0.235780	-0.129707	0.679949	-0.043849	0.024409	-0.031240	-0.546274	-0.131892	0.276461	0.029256	0.032292	1.570716	-3.260482	1.534787	10.664190	-0.416556	0.548247	0.626617	1.211294	-0.119098	-5.705946	0.451862	0.034553
-0.022001	0.130103	0.126738	0.983121	0.028084	0.149771	-0.480384	0.011126	0.202596	-0.117876	0.789254	-0.047683	0.029263	-0.026167	-0.535984	-0.134026	0.232217	0.033319	0.032819	1.274058	-3.318315	1.183121	10.930557	-0.383395	0.485404	0.507374	1.028980	-0.213482	-4.424401	0.406266	0.052727
-0.021643	0.130634	0.124361	0.983362	0.021229	0.094741	-0.479529	0.020148	0.168106	-0.109768	0.900375	-0.051188	0.033479	-0.022867	-0.528351	-0.137397	0.201652	0.036901	0.033538	0.902270	-3.449071	0.810786	11.112073	-0.350476	0.421585	0.329995	0.763281	-0.337046	-3.056507	0.358188	0.071965
-0.021255	0.130749	0.121843	0.983670	0.012338	0.010656	-0.510297	0.024872	0.131457	-0.105399	1.012390	-0.054375	0.037067	-0.021887	-0.524094	-0.142057	0.185013	0.039994	0.034455	0.472344	-3.664915	0.436865	11.201562	-0.318682	0.358815	0.097944	0.425771	-0.466020	-1.663920	0.309285	0.091673
-0.020839	0.130521	0.119181	0.984036	0.005670	-0.058619	-0.541072	0.024969	0.091741	-0.104579	1.124322	-0.057258	0.040051	-0.023688	-0.523746	-0.147749	0.181962	0.042602	0.035565	0.009670	-3.971561	0.081991	11.193163	-0.288345	0.298429	-0.180060	0.034761	-0.569157	-0.305067	0.260780	0.110969
