-0.399309	-0.094327	-0.231812	-0.186542	-0.020447	-0.007889	0.610642	-0.065085	-0.128646	-0.652582	0.003410	0.032060	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000
-0.366644	-0.074256	-0.207703	-0.276293	-0.025484	-0.000704	0.597907	-0.058390	-0.129063	-0.564119	0.009034	0.031845	3.266461	2.007149	2.410960	-8.975039	-0.503706	0.718496	-1.273559	0.669563	-0.041661	8.846239	0.562411	-0.021546
-0.333721	-0.054370	-0.184653	-0.370917	-0.030442	0.006269	0.584805	-0.051468	-0.129559	-0.479623	0.014541	0.031740	3.292320	1.988531	2.304942	-9.462382	-0.495763	0.697334	-1.310121	0.692166	-0.049622	8.449669	0.550704	-0.010492
-0.300945	-0.035171	-0.163545	-0.470084	-0.035201	0.012854	0.571474	-0.044406	-0.130046	-0.401920	0.019809	0.031768	3.277647	1.919887	2.110858	-9.916731	-0.475916	0.658535	-1.333103	0.706208	-0.048716	7.770203	0.526759	0.002791
-0.268384	-0.017322	-0.145055	-0.573307	-0.039684	0.018927	0.558387	-0.037507	-0.130701	-0.333521	0.024738	0.031946	3.256014	1.784931	1.848997	-10.322279	-0.448282	0.607235	-1.308724	0.689916	-0.065452	6.839997	0.492881	0.017847
-0.235780	-0.001615	-0.129707	-0.679949	-0.043849	0.024409	0.546274	-0.031240	-0.131892	-0.276461	0.029256	0.032292	3.260482	1.570716	1.534787	-10.664190	-0.416556	0.548247	-1.211294	0.626617	-0.119098	5.705946	0.451862	0.034553
-0.202596	0.011126	-0.117876	-0.789254	-0.047683	0.029263	0.535984	-0.026167	-0.134026	-0.232217	0.033319	0.032819	3.318315	1.274058	1.183121	-10.930557	-0.383395	0.485404	-1.028980	0.507374	-0.213482	4.424401	0.406266	0.052727
-0.168106	0.020148	-0.109768	-0.900375	-0.051188	0.033479	0.528351	-0.022867	-0.137397	-0.201652	0.036901	0.033538	3.449071	0.902270	0.810786	-11.112073	-0.350476	0.421585	-0.763281	0.329995	-0.337046	3.056507	0.358188	0.071965
-0.131457	0.024872	-0.105399	-1.012390	-0.054375	0.037067	0.524094	-0.021887	-0.142057	-0.185013	0.039994	0.034455	3.664915	0.472344	0.436865	-11.201562	-0.318682	0.358815	-0.425771	0.097944	-0.466020	1.663920	0.309285	0.091673
-0.091741	0.024969	-0.104579	-1.124322	-0.057258	0.040051	0.523746	-0.023688	-0.147749	-0.181962	0.042602	0.035565	3.971561	0.009670	0.081991	-11.193163	-0.288345	0.298429	-0.034761	-0.180060	-0.569157	0.305067	0.260780	0.110969
-0.048057	0.020430	-0.106908	-1.235132	-0.059853	0.042464	0.527603	-0.028577	-0.153898	-0.191629	0.044735	0.036850	4.368377	-0.453825	-0.232844	-11.080959	-0.259459	0.241299	0.385672	-0.488902	-0.614950	-0.966708	0.213340	0.128462
